taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,0,FALSE,FALSE,FALSE,FALSE
Porphyromonas,0,FALSE,FALSE,FALSE,FALSE
ASV_63,1,FALSE,FALSE,FALSE,FALSE
Alloprevotella,1,FALSE,FALSE,FALSE,FALSE
Prevotella,0,FALSE,FALSE,FALSE,FALSE
Campylobacter,1,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,0,FALSE,FALSE,FALSE,FALSE
Streptococcus,0,FALSE,FALSE,FALSE,FALSE
Gemella,1,FALSE,FALSE,FALSE,FALSE
Staphylococcus,2,FALSE,FALSE,FALSE,FALSE
ASV_35,1,FALSE,FALSE,FALSE,FALSE
Veillonella,1,FALSE,FALSE,FALSE,FALSE
Fusobacterium,0,FALSE,FALSE,FALSE,FALSE
Streptobacillus,3,FALSE,FALSE,FALSE,FALSE
ASV_22,1,FALSE,FALSE,FALSE,FALSE
Neisseria,2,FALSE,FALSE,FALSE,FALSE
Haemophilus,0,FALSE,FALSE,FALSE,FALSE
Acinetobacter,3,FALSE,FALSE,FALSE,FALSE
Moraxella,15,FALSE,TRUE,TRUE,TRUE
