taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,0,FALSE,FALSE,FALSE,FALSE
Porphyromonas,3,FALSE,FALSE,FALSE,FALSE
Alloprevotella,0,FALSE,FALSE,FALSE,FALSE
Prevotella,1,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,6,FALSE,FALSE,FALSE,FALSE
Streptococcus,0,FALSE,FALSE,FALSE,FALSE
Gemella,0,FALSE,FALSE,FALSE,FALSE
Staphylococcus,0,FALSE,FALSE,FALSE,FALSE
ASV_35,0,FALSE,FALSE,FALSE,FALSE
Helcococcus,0,FALSE,FALSE,FALSE,FALSE
Fusobacterium,9,FALSE,FALSE,FALSE,FALSE
Streptobacillus,3,FALSE,FALSE,FALSE,FALSE
ASV_22,3,FALSE,FALSE,FALSE,FALSE
Neisseria,10,FALSE,FALSE,FALSE,TRUE
Haemophilus,0,FALSE,FALSE,FALSE,FALSE
Acinetobacter,0,FALSE,FALSE,FALSE,FALSE
Moraxella,0,FALSE,FALSE,FALSE,FALSE
